,company,year,sdg
0,Adidas,2014,210
1,Adidas,2015,210
2,Adidas,2016,210
3,Adidas,2017,210
4,Adidas,2018,210
5,Adidas,2019,210
6,Adidas,2020,210
7,Adidas,2021,210
8,Adidas,2022,210
9,Adidas,2023,210
10,Siemens Healthineers,2014,210
11,Siemens Healthineers,2017,210
12,Siemens Healthineers,2018,210
13,Siemens Healthineers,2019,210
14,Siemens Healthineers,2020,210
15,Siemens Healthineers,2021,210
16,Siemens Healthineers,2022,210
17,Siemens Healthineers,2023,210
18,BASF,2014,210
19,BASF,2015,210
20,BASF,2016,210
21,BASF,2017,210
22,BASF,2018,210
23,BASF,2019,210
24,BASF,2020,210
25,BASF,2021,210
26,BASF,2022,210
27,BASF,2023,210
28,Infineon,2014,210
29,Infineon,2015,210
30,Infineon,2016,210
31,Infineon,2017,210
32,Infineon,2018,210
33,Infineon,2019,210
34,Infineon,2020,210
35,Infineon,2021,210
36,Infineon,2022,210
37,Infineon,2023,210
38,DHL Group,2014,210
39,DHL Group,2015,210
40,DHL Group,2016,210
41,DHL Group,2017,210
42,DHL Group,2018,210
43,DHL Group,2019,210
44,DHL Group,2020,210
45,DHL Group,2021,210
46,DHL Group,2022,210
47,DHL Group,2023,210
48,Mercedes-Benz,2014,210
49,Mercedes-Benz,2015,210
50,Mercedes-Benz,2016,210
51,Mercedes-Benz,2017,210
52,Mercedes-Benz,2018,210
53,Mercedes-Benz,2019,210
54,Mercedes-Benz,2020,210
55,Mercedes-Benz,2021,210
56,Mercedes-Benz,2022,210
57,Mercedes-Benz,2023,210
58,SAP,2014,210
59,SAP,2015,210
60,SAP,2016,210
61,SAP,2017,210
62,SAP,2018,210
63,SAP,2019,210
64,SAP,2020,210
65,SAP,2021,210
66,SAP,2022,210
67,SAP,2023,210
68,Hannover Rück,2014,210
69,Hannover Rück,2015,210
70,Hannover Rück,2016,210
71,Hannover Rück,2017,210
72,Hannover Rück,2018,210
73,Hannover Rück,2019,210
74,Hannover Rück,2020,210
75,Hannover Rück,2021,210
76,Hannover Rück,2022,210
77,Hannover Rück,2023,210
78,Siemens,2014,210
79,Siemens,2015,210
80,Siemens,2016,210
81,Siemens,2017,210
82,Siemens,2018,210
83,Siemens,2019,210
84,Siemens,2020,210
85,Siemens,2021,210
86,Siemens,2022,210
87,Siemens,2023,210
88,Deutsche Börse,2014,210
89,Deutsche Börse,2015,210
90,Deutsche Börse,2016,210
91,Deutsche Börse,2017,210
92,Deutsche Börse,2018,210
93,Deutsche Börse,2019,210
94,Deutsche Börse,2020,210
95,Deutsche Börse,2021,210
96,Deutsche Börse,2022,210
97,Deutsche Börse,2023,210
98,Porsche,2014,210
99,Porsche,2015,210
100,Porsche,2016,210
101,Porsche,2017,210
102,Porsche,2018,210
103,Porsche,2019,210
104,Porsche,2020,210
105,Porsche,2021,210
106,Porsche,2022,210
107,Porsche,2023,210
108,Merck,2014,210
109,Merck,2015,210
110,Merck,2016,210
111,Merck,2017,210
112,Merck,2018,210
113,Merck,2019,210
114,Merck,2020,210
115,Merck,2021,210
116,Merck,2022,210
117,Merck,2023,210
118,Munich RE,2014,210
119,Munich RE,2015,210
120,Munich RE,2016,210
121,Munich RE,2017,210
122,Munich RE,2018,210
123,Munich RE,2019,210
124,Munich RE,2020,210
125,Munich RE,2021,210
126,Munich RE,2022,210
127,Munich RE,2023,210
128,Beiersdorf,2014,210
129,Beiersdorf,2015,210
130,Beiersdorf,2016,210
131,Beiersdorf,2017,210
132,Beiersdorf,2018,210
133,Beiersdorf,2019,210
134,Beiersdorf,2020,210
135,Beiersdorf,2021,210
136,Beiersdorf,2022,210
137,Beiersdorf,2023,210
138,Allianz,2014,210
139,Allianz,2015,210
140,Allianz,2016,210
141,Allianz,2017,210
142,Allianz,2018,210
143,Allianz,2019,210
144,Allianz,2020,210
145,Allianz,2021,210
146,Allianz,2022,210
147,Allianz,2023,210
148,Deutsche Telekom,2014,210
149,Deutsche Telekom,2015,210
150,Deutsche Telekom,2016,210
151,Deutsche Telekom,2017,210
152,Deutsche Telekom,2019,210
153,Deutsche Telekom,2020,210
154,Deutsche Telekom,2021,210
155,Deutsche Telekom,2022,210
156,Deutsche Telekom,2023,210
157,E,2014,210
158,E,2015,210
159,E,2016,210
160,E,2017,210
161,E,2018,210
162,E,2019,210
163,E,2020,210
164,E,2021,210
165,E,2022,210
166,E,2023,210
167,Henkel,2014,210
168,Henkel,2015,210
169,Henkel,2016,210
170,Henkel,2017,210
171,Henkel,2018,210
172,Henkel,2019,210
173,Henkel,2020,210
174,Henkel,2021,210
175,Henkel,2022,210
176,Henkel,2023,210
177,Volkswagen,2014,210
178,Volkswagen,2015,210
179,Volkswagen,2016,210
180,Volkswagen,2017,210
181,Volkswagen,2018,210
182,Volkswagen,2019,210
183,Volkswagen,2020,210
184,Volkswagen,2021,210
185,Volkswagen,2022,210
186,Volkswagen,2023,210
