Company,Year,AI_Score,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sdg_17
Adidas,2018,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Covestro AG,2015,0,0,0,0,1,0,5,2,1,1,0,0,21,2,3,3,1,8
Covestro AG,2016,0,0,0,0,1,1,3,2,2,1,0,0,18,1,4,3,3,7
Covestro AG,2017,0,2,4,0,1,1,8,5,8,9,0,1,22,3,6,3,6,20
Covestro AG,2018,0,0,1,0,1,2,4,5,6,8,0,8,33,9,9,3,9,28
Covestro AG,2019,0,0,1,0,2,2,6,5,8,8,0,0,25,5,6,1,6,14
Covestro AG,2020,0,0,2,0,1,5,9,9,7,10,0,0,32,5,7,3,9,17
Covestro AG,2021,0,0,2,0,1,4,8,8,12,12,0,1,42,9,5,3,7,21
Covestro AG,2022,0,0,2,0,0,3,9,9,5,8,0,1,50,12,3,4,10,16
Covestro AG,2023,0,0,4,0,0,3,9,10,9,8,0,2,58,16,6,10,9,27
Daimler Truck Holding AG,2021,0,0,0,0,0,0,0,1,2,2,0,0,10,3,0,0,7,5
Daimler Truck Holding AG,2022,0,0,0,0,0,0,9,12,4,4,0,0,39,9,9,8,6,14
Daimler Truck Holding AG,2023,0,0,0,0,0,2,9,11,3,1,0,0,37,9,11,9,8,17
Deutsche Telekom,2018,0,0,1,0,0,1,0,5,5,7,0,2,7,13,5,3,8,16
Dr Ing hc F Porsche AG,2022,0,0,0,1,1,1,4,1,1,2,0,0,14,8,6,13,5,11
Dr Ing hc F Porsche AG,2023,0,0,0,3,3,4,2,1,0,2,0,0,17,11,4,15,6,17
Hornbach,2020,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,1
MTU Aero Engines AG,2014,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
MTU Aero Engines AG,2015,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1
